holeid,from,to,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE
MRCB21,446,446.5,9889.025638,11155.64416,-282.51925,1,1,0,0.01
MRCB21,446.5,447,9889.190953,11155.84141,-282.94775,1,1,0,0.1
MRCB21,447,447.5,9889.356268,11156.03865,-283.37625,1,1,0,0.32
MRCB21,447.5,448,9889.521583,11156.2359,-283.80475,1,1,0,0.1
MRCB21,448,448.5,9889.686898,11156.43314,-284.23325,2,2,0,0.06
MRCB21,448.5,449,9889.852213,11156.63039,-284.66175,2,3,0,0.15
MRCB21,449,449.5,9890.017528,11156.82763,-285.09025,2,3,0,0.04
MRCB21,449.5,450,9890.182843,11157.02488,-285.51875,2,3,0,0.12
MRCB21,450,450.5,9890.348158,11157.22212,-285.94725,2,3,0,0.13
MRCB21,450.5,451,9890.513473,11157.41937,-286.37575,2,3,0,0.04
MRCB21,451,451.5,9890.678788,11157.61661,-286.80425,2,4,0,0.03
MRCB21,451.5,452,9890.844103,11157.81386,-287.23275,2,4,0,0.22
MRCB21,452,452.5,9891.009418,11158.0111,-287.66125,2,5,0,0.13
MRCB21,452.5,453,9891.174733,11158.20835,-288.08975,2,5,0,0.01
MRCB21,453,453.5,9891.340048,11158.40559,-288.51825,2,5,0,0.01
MRCB21,453.5,454,9891.505363,11158.60284,-288.94675,2,5,0,0.01
MRCB21,454,454.5,9891.670678,11158.80008,-289.37525,2,5,1,0.01
MRCB21,455,455.5,9892.001308,11159.19457,-290.23225,2,6,1,0.3
MRCB21,455.5,456,9892.166623,11159.39182,-290.66075,2,6,1,0.03
MRCB21,456,456.5,9892.331938,11159.58906,-291.08925,2,6,1,0.07
MRCB21,456.5,457,9892.497253,11159.78631,-291.51775,2,7,1,0.01
MRCB21,457,457.5,9892.662568,11159.98355,-291.94625,2,8,1,0.01
MRCB21,457.5,456,9892.497253,11159.78631,-291.51775,2,8,1,0.01
MRCB21,475,475.5,9898.613908,11167.08437,-307.37225,3,8,0,0.02
MRCB21,475.5,476,9898.779223,11167.28162,-307.80075,3,8,0,0.02
MRCB21,476,476.5,9898.944538,11167.47886,-308.22925,3,8,0,0.01
MRCB21,476.5,477,9899.109853,11167.67611,-308.65775,3,8,0,0.01
MRCB21,477,477.5,9899.275168,11167.87335,-309.08625,3,8,0,0.05
MRCB21,477.5,478,9899.440483,11168.0706,-309.51475,3,8,0,0.08
MRCB21,478,478.5,9899.605798,11168.26784,-309.94325,2,8,0,0.06
MRCB21,478.5,479,9899.771113,11168.46509,-310.37175,2,8,0,0.01
MRCB21,479,479.5,9899.936428,11168.66233,-310.80025,2,9,0,0.01
MRCB21,479.5,480,9900.101743,11168.85958,-311.22875,2,9,0,0.01
MRCB21,480.5,481,9900.432373,11169.25407,-312.08575,2,9,0,0.45
MRCB21,481,481.5,9900.597688,11169.45131,-312.51425,2,10,0,0.13
MRCB21,481.5,482,9900.763003,11169.64856,-312.94275,2,10,0,0.09
MRCB21,482,482.5,9900.928318,11169.8458,-313.37125,2,10,0,0.2
MRCB21,482.5,483,9901.093633,11170.04305,-313.79975,2,10,0,0.16
MRCB21,483,483.5,9901.258948,11170.24029,-314.22825,2,10,0,0.06
MRCB21,483.5,484,9901.424263,11170.43754,-314.65675,2,10,0,0.04
MRCB21,484,484.5,9901.589578,11170.63478,-315.08525,2,11,1,0.02
MRCB21,484.5,485,9901.754893,11170.83203,-315.51375,2,11,1,0.07
MRCB21,485,485.5,9901.920208,11171.02927,-315.94225,2,11,1,0.02
MRCB21,485.5,486,9902.085523,11171.22652,-316.37075,2,11,1,0.04
MRCB21,486,486.5,9902.250838,11171.42376,-316.79925,2,11,1,0.12
MRCB21,486.5,487,9902.416153,11171.62101,-317.22775,2,11,1,0.12
MRCB21,487,487.5,9902.581468,11171.81825,-317.65625,4,11,1,0.14
